Time,WindSpeed (m/s),Wind Direction (°)
2023-03-17 11:00:00,13,222
2023-03-17 17:00:00,11,253
2023-03-17 23:00:00,11,257
2023-03-18 05:00:00,12,261
2023-18-10 11:00:00,11,256
2023-03-18 17:00:00,14,226
2023-03-18 23:00:00,15,242
2023-03-19 05:00:00,13,251
2023-03-19 11:00:00,13,239
2023-03-19 17:00:00,18,230
2023-03-19 23:00:00,19,228
2023-03-20 05:00:00,16,244
2023-03-20 11:00:00,15,241
2023-03-20 17:00:00,15,238
2023-03-20 23:00:00,17,239
2023-03-21 05:00:00,16,273
2023-03-21 11:00:00,14,276
2023-03-21 17:00:00,12,272
2023-03-21 23:00:00,14,241
2023-03-22 05:00:00,19,262
2023-03-22 11:00:00,15,287
