Time,WindSpeed (m/s),Wind Direction (°)
2023-03-17 11:00:00,11,127
2023-03-17 17:00:00,9,137
2023-03-17 23:00:00,5,210
2023-03-18 05:00:00,6,259
2023-18-10 11:00:00,4,216
2023-03-18 17:00:00,8,188
2023-03-18 23:00:00,8,193
2023-03-19 05:00:00,8,224
2023-03-19 11:00:00,8,279
2023-03-19 17:00:00,17,342
2023-03-19 23:00:00,17,350
2023-03-20 05:00:00,14,0
2023-03-20 11:00:00,13,350
2023-03-20 17:00:00,9,0
2023-03-20 23:00:00,5,352
2023-03-21 05:00:00,3,311
2023-03-21 11:00:00,3,212
2023-03-21 17:00:00,6,200
2023-03-21 23:00:00,2,145
2023-03-22 05:00:00,8,178
2023-03-22 11:00:00,8,190
